video_name,frame_id,xmin,ymin,xmax,ymax,velocity,customer_id,x_floorplan,y_floorplan,new_customer_id,camera,x_floorplan_new,y_floorplan_new,time,customer_id_global
20220314_1.04_5_6_blurred,19,130.6831003,483.1701952,644.4129928,718.6385318,0,1540,-363.1331492,-49.13083249,561540,1.04,1119.048809,1476.052684,16:30:30,23762964
20220314_2.05_4_51_blurred,691,336.2408234,74.48164997,363.5799309,154.164039,0.215,1692,-363.9011239,-46.2577126,4511692,2.05,1138.058287,1629.934923,16:30:30,44416406
20220314_2.05_4_51_blurred,692,336.3148799,74.49331903,363.537547,153.8294725,0.197,1692,-363.9068239,-46.26064954,4511692,2.05,1137.875231,1629.840889,16:30:30,44416406
20220314_2.05_4_51_blurred,693,336.3466852,74.50819357,363.51724,153.6787514,0.189,1692,-363.9054759,-46.26138172,4511692,2.05,1137.918522,1629.817446,16:30:30,44416406
20220314_2.05_4_51_blurred,695,336.4293982,74.50879746,363.5031804,153.3586534,0.178,1692,-363.9069271,-46.2626052,4511692,2.05,1137.871917,1629.778273,16:30:30,44416406
20220314_1.03_12_16_blurred,389,160.7544228,363.4867997,240.5130851,464.517373,1.124,1188,-363.6443667,-47.16586139,12161188,1.03,1094.835777,1456.293909,16:30:31,12161188
20220314_1.03_12_16_blurred,389,232.7102113,338.4643293,311.9054612,437.3011442,1.176,1191,-363.1298799,-47.16515781,12161191,1.03,1111.613597,1456.311631,16:30:31,12161191
20220314_1.03_12_16_blurred,389,653.2590614,231.8826132,732.465438,330.0062341,0.033,1192,-359.5992627,-48.16970843,12161192,1.03,1226.749809,1431.008778,16:30:31,12161192
20220314_1.03_12_16_blurred,390,157.1565308,359.0866858,237.7918732,461.4754462,1.141,1188,-363.640839,-47.07045458,12161188,1.03,1094.950818,1458.697037,16:30:31,12161188
20220314_1.03_12_16_blurred,390,237.2407645,342.3526608,308.6478917,433.147319,1.157,1191,-363.1115675,-47.07980298,12161191,1.03,1112.210777,1458.461568,16:30:31,12161191
20220314_1.03_12_16_blurred,391,151.6400746,354.6711396,234.6884088,461.023555,1.084,1188,-363.6459125,-46.9899234,12161188,1.03,1094.785367,1460.725475,16:30:31,12161188
